Input Query,Type,Response 0.5 threshold,Correct (Leslie-as-judge) 1-5 (5 is best),Response 0.65 threshold,Correct (Leslie-as-judge) 1-5 (5 is best)
Suggest some restaurants,Duke,"Little Bull, Plum Southern Kitchen & Bar, ZenFish Poké Bar, The Parlour, Foster's Market, The Refectory Cafe",3,"Ideal Cafe, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké Bar, ZenFish Poké",1
What is the tuition?,AIPI,"The tuition for the online Duke Master of Engineering programs for the 2024-2025 academic year is $9,897 per course taken at the university.",5,"The tuition for the Duke University Master's in Artificial Intelligence program is $32,990 per semester taken at the university. Tuition for the Master of Engineering in AI over two semesters and a summer session would result in a total tuition cost of $75,877.",5
What is the difference between the 12 and the 16 month tracks,AIPI,The 12 month track is a full-time program that requires students to take 12 credits per semester. The 16 month track is a part-time program that requires students to take 6 credits per semester.,3,The 12 month track is a full time program that requires students to be on campus for 12 months. The 16 month track is a part time program that requires students to be on campus for 16 months.,2
Give me the syllabus for AIPI 540,AIPI,"This is in context of the Duke Artificial Intelligence for Product Innovation (AIPI) Masters's program. AIPI 540: Deep Learning Applications Course Syllabus Course Materials The code for this course can be found on the course GitHub repo. Be sure to git pull each time you want to access code from it, as it will evolve throughout the course of the semester. Optional textbooks (not required): 1. Deep Learning by Ian Goodfellow, Yoshua Bengio, and Aaron Courville. 2016. https://www.deeplearningbook.org/ Required free software: 2. Most or all assignments will require access to GPU. You may use either Google Colab Pro ($10/month) or work on a cloud platform of your choice where you can run notebooks (AWS, Azure or GCP). More information on how to set up for work will be provided first day of class. 3. Regardless of your choice of compute infrastructure, you will need access a number of Python packages. These can be installed from the requirements.txt or environment.yml file in the course",2,"This is in context of the Duke Artificial Intelligence for Product Innovation (AIPI) Masters's program. AIPI 540: Deep Learning Applications Course Syllabus Course Materials The code for this course can be found on the course GitHub repo. Be sure to git pull each time you want to access code from it, as it will evolve throughout the course of the semester. Optional textbooks (not required): 1. Deep Learning by Ian Goodfellow, Yoshua Bengio, and Aaron Courville. 2016. https://www.deeplearningbook.org/ Required free software: 2. Most or all assignments will require access to GPU. You may use either Google Colab Pro ($10/month) or work on a cloud platform of your choice where you can run notebooks (AWS, Azure or GCP). More information on how to set up for work will be provided first day of class. 3. Regardless of your choice of compute infrastructure, you will need access a number of Python packages. These can be installed from the requirements.txt or environment.yml file in the course",2
Tell me more about the program faculty,AIPI,"The Duke Artificial Intelligence for Product Innovation (AIPI) Masters's program has a faculty of 14 members. The faculty includes Jon Reifschneider, Brinnae Bent, Xu Chen, Alfredo Deza, Noah Gift, Wann-Jiun Ma, Pramod Singh, Natalia Summerville, Theodore Ryan, Richard Dean Telford, and Jeffrey D Ward.",4,"The Duke AIPI program is led by Dr. Michael Zoltowski, who is a Professor of the Practice in the Department of Electrical and Computer Engineering at Duke University. Dr. Zoltowski has a PhD in Computer Science from the University of Illinois at Urbana-Champaign and has been a faculty member at Duke since 2016. He has extensive experience in the field of artificial intelligence and machine learning, and has published numerous papers in the field.",2
What are the scholarship opportunities?,AIPI,Duke Mission Scholarships Competitively Awarded Fellowships Loans,2,"The Duke University Master's in Artificial Intelligence program offers a number of fellowships for continuing Ph.D. students, including fellowships that provide full support for the academic year. Additionally, the program offers Duke Mission Scholarships that provide up to 50 percent tuition scholarship annually to students who demonstrate a commitment to diversity, equity, and inclusion.",3
What is the hourly pay rate for a TA position?,Duke,The hourly pay rate for a TA position is not specified in the text.,1,The average hourly pay rate for a TA position at Duke University is $19 per hour.,4
Give me some housing options near campus,Duke,Duke University has a number of housing options for students. The most popular options are the dorms on campus. The dorms are located in the center of campus and are within walking distance to most of the academic buildings. The dorms are also close to the dining halls and other student services. The dorms are also close to the Duke Chapel and the Duke Gardens. The dorms are also close to the Duke University Medical Center. The dorms are also close to the Duke University Hospital. The dorms are also close to the Duke University School of Medicine. The dorms are also close to the Duke University School of Nursing. The dorms are also close to the Duke University School of Public Health. The dorms are also close to the Duke University School of Law. The dorms are also close to the Duke University School of Business. The dorms are also close to the Duke University School of Engineering. The dorms are also close to the Duke University School of Arts and Sciences. The dorms are also close to the Duke University School of Divinity. The dorms are also close to the Duke University School of Medicine. The dorms are also,1,"Duke University Housing and Residence Life (HRL) will offer housing for Graduate and Professional Students during the 2024 - 2025 academic year in two locations; 301 Swift Apartments and Lancaster Commons Apartments. 301 Swift offers a limited number of on campus fully furnished two-bedroom apartments. Become a leader in applying AI & machine learning. Artificial intelligence is creating immense opportunities across every industry. Duke's unique, immersive Master of Engineering in Artificial Intelligence for Product Innovation program will prepare you with strong technical AI skills complemented by a product design perspective and hands-on practical experience building AI software...",2
What are the technical electives?,AIPI,"BIOSTAT 709: Observational Studies Methods for causal inference, including confounding and selection bias in observational or quasi-experimental research designs, propensity score methodology, instrumental variables and methods for non-compliance in randomized clinical trials. BME 580: Biomedical Data Science This course will teach a combination of theory and application of biomedical data science principles using multi-scale biomedical data; including multi-omics, wearable sensor, and electronic health records data. Basic principles of data mining, exploratory data analysis, and statistics will be reviewed, and students will be introduced to supervised and unsupervised machine learning and model evaluation and selection methods. Methodology learned in classes will be applied in the assignments and class project to real-world multi-omics, wearable sensor, and electronic health records data. CYBERSEC 511: Cybersecurity in the Software Development Lifecycle Teaches students about all steps of the software development lifecycle and the role Cybersecurity design principles play in requirements definition, design, development, testing, and maintenance. Tools and techniques to provide software",2,"The Duke AI Master of Engineering program is a part of Duke Engineering's Institute for Enterprise Engineering, which provides high-impact professional education to meet fast-evolving industry needs. These programs draw on Duke Engineering's research and educational strengths in: Computing Fundamentals. AI and Machine Learning. The Duke AI Master of Engineering program is a part of Duke Engineering's Institute for Enterprise Engineering, which provides high-impact professional education to meet fast-evolving industry needs. These programs draw on Duke Engineering's research and educational strengths in: Computing Fundamentals. AI and Machine Learning. The Duke AI Master of Engineering program is a part of Duke Engineering's Institute for Enterprise Engineering, which provides high-impact professional education to meet fast-evolving industry needs. These programs draw on Duke Engineering's research and educational strengths in: Computing Fundamentals. AI and Machine Learning.",1
How is the capstone class like? What companies can I work with?,AIPI,The capstone class is a great way to apply the skills you have learned in the program. You will work with a team of 4-5 students to solve a real-world problem for a company. You will work with a company to define the problem and then work with them to develop a solution. You will present your solution to the company at the end of the semester. You can work with any company that is interested in working with you. You can find a list of companies that have worked with us in the past on our website.,5,The capstone class is a great way to apply what you have learned in your program. You will work with a company to solve a real-world problem. You will have a team of 4-5 students and a faculty advisor. You will work with the company to understand the problem and develop a solution. You will present your solution to the company and your classmates.,4
I have never written a line of code in my life. Can I still join the program?,AIPI,"Yes, you can still join the program. The program is designed for students with different backgrounds. Some students come from undergraduate programs which focus heavily on programming and/or math, while others come from other branches of engineering, science or medicine, or join our program after a few years of industry experience.",5,"Yes, you can join the Duke University Master's in Artificial Intelligence program if you have never written a line of code in your life. The program is designed to teach you the fundamentals of artificial intelligence and machine learning, and you will have the opportunity to work with experienced instructors and mentors who can help you develop your skills. The program also offers a variety of courses and projects that will allow you to apply your knowledge and skills in real-world settings.",5
What is Duke famous for?,Duke,"Duke is famous for its basketball team, the Duke Blue Devils. Duke is also known for its engineering program. Duke has a very strong engineering program that is known for its research and innovation. Duke is also known for its medical school and hospital. Duke is located in Durham, North Carolina. Durham is a great place to live and work. Durham is a small city that is located in the Research Triangle area of North Carolina. The Research Triangle area is known for its research and innovation. Duke is a great place to live and work. Duke is a great place to go to school. Duke is a great place to work. Duke is a great place to live. Duke is a great place to visit. Duke is a great place to go to school. Duke is a great place to work. Duke is a great place to live. Duke is a great place to visit. Duke is a great place to go to school. Duke is a great place to work. Duke is a great place to live. Duke is a great place to visit. Duke is a great place to go to school. Duke is a great place to work.",2,"Duke University is a private research university in Durham, North Carolina, United States.Founded by Methodists and Quakers in the present-day city of Trinity in 1838, the school moved to Durham in 1892. In 1924, tobacco and electric power industrialist James Buchanan Duke established The Duke Endowment and the institution changed its name to honor his deceased father, Washington Duke. The university is known for its vibrant campus life, offering various extracurricular activities, clubs, and organizations. Duke students can engage in a diverse and inclusive community, fostering personal growth and development outside the classroom. Additionally, Duke's commitment to community engagement and public service is another aspect... Duke University is also known as one of the younger prestigious research universities in the country. Unlike colleges like Harvard, Yale, and Princeton, which were founded in the 1600 and 1700s, Duke was established in 1838 as Trinity College and only became known as Duke University in 1924.... Famous Duke basketball players who have gone onto... Thanks to its $12.7 billion end",4
What is the process to become an RA or TA?,Duke/AIPI,"Teaching assistantships are a common way that AIPI students can work on campus, earn money, and give of their time to the AIPI community. Most often, course instructors approach students who have done well in their course and ask them to TA in a subsequent semester. Other times, students will voice their interest to the instructor to initiate the conversation about a TA position. Toward the beginning of each semester, there are usually a few TA positions to be filled, and an announcement about open positions will be emailed out to students. TA positions are not often available for incoming students, as these positions are typically filled by continuing students who have taken the course before. In order to be on Duke's payroll, all students must have a Social Security Number on file. If a student intends to work on campus and be paid as an employee of the University, then that student should plan to apply for a Social Security Number. More information about applying for a Social Security Number may be found here. International students on F-1 visas are not permitted to work off-campus except as part of their Curricular Practical Training (CPT). Students who are F-1",4,"The process to become an RA or TA at Duke University is to apply for the position. The application process is managed by the Duke Artificial Intelligence for Product Innovation (AIPI) Masters's program. The RA position is a critical role that develops an atmosphere of inclusion through intentional relationship building, supporting residents, and programming. The TA position is a role that requires the student to diligently perform all of the duties that are involved in the role. The TA position is a role that requires the student to diligently perform all of the duties that are involved in the role. The TA position is a role that requires the student to diligently perform all of the duties that are involved in the role. The TA position is a role that requires the student to diligently perform all of the duties that are involved in the role. The TA position is a role that requires the student to diligently perform all of the duties that are involved in the role. The TA position is a role that requires the student to diligently perform all of the duties that are involved in the role. The TA position is a role that requires the student to dil",3
,,Duke,2.2,Duke,3
,,AIPI,2.952380952,AIPI,2.714285714
